sex,age,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,total_grades,legal_drinker,school_MS,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation
male,16,1,1,4,4,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,18,18,18,54,0,False,False,False,False,True,False,False,False,True,False,False,False
female,15,1,1,3,4,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,12,0,0,12,0,False,False,False,True,False,False,False,False,True,False,False,False
female,15,1,1,1,1,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0,8,0,0,8,0,False,False,False,False,False,False,True,False,False,False,False,False
female,17,0,1,2,2,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,10,13,12,35,0,False,False,True,False,False,False,True,False,False,False,False,False
female,16,1,0,3,4,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,12,11,11,34,0,False,False,False,True,False,False,True,False,False,False,False,False
male,15,1,1,3,4,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,9,0,0,9,0,False,False,False,False,False,False,False,False,True,False,False,False
female,15,1,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,11,0,0,11,0,False,False,False,True,False,False,False,False,False,False,False,False
male,17,1,1,3,4,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,10,0,0,10,0,False,False,False,False,False,False,True,False,False,False,False,False
female,16,1,0,3,3,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,4,0,0,4,0,False,False,True,False,False,False,True,False,False,False,False,False
male,16,0,1,1,1,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,14,12,12,38,0,False,False,False,True,False,False,True,False,False,False,False,False
female,15,1,1,4,4,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,16,16,15,47,0,False,False,False,False,True,False,False,False,True,False,False,False
male,15,1,1,4,3,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,7,9,0,16,0,False,False,False,False,True,False,False,True,False,False,False,False
male,16,0,1,2,2,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,9,9,9,27,0,False,False,False,True,False,False,False,True,False,False,False,True
female,15,1,1,4,4,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,9,11,11,31,0,False,False,False,False,True,False,False,True,False,False,False,False
female,16,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,14,14,13,41,0,False,False,False,False,False,False,False,False,False,False,False,False
male,17,1,1,2,1,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,5,0,0,5,0,False,False,True,False,False,False,True,False,False,True,False,False
female,15,1,1,1,1,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,8,11,11,30,0,False,False,True,False,False,False,False,True,False,False,False,False
female,15,1,1,3,2,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,6,7,0,13,0,False,True,False,False,False,False,False,True,False,True,False,False
female,15,1,1,1,2,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,10,11,11,32,0,False,False,False,False,False,False,True,False,False,False,False,False
male,16,1,1,4,4,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,7,6,0,13,0,False,False,False,False,True,False,False,False,True,False,False,False
male,15,0,0,2,1,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,8,9,10,27,0,False,False,False,True,False,False,True,False,False,False,False,False
male,18,0,1,1,1,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,6,5,0,11,1,False,False,True,False,False,False,True,False,False,False,False,False
male,16,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,12,13,14,39,0,False,False,False,False,False,False,True,False,False,False,False,False
female,15,1,1,3,3,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,10,10,10,30,0,False,False,False,True,False,False,False,True,False,False,False,True
male,19,1,1,3,2,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,5,0,0,5,1,False,False,False,True,False,False,False,False,False,True,False,False
female,17,1,1,4,4,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,11,11,12,34,0,False,False,True,False,False,False,False,False,True,False,False,False
male,15,1,1,2,3,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,11,8,8,27,0,False,False,False,False,False,False,False,True,False,False,False,False
male,17,0,1,1,2,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,16,12,13,41,0,False,False,True,False,False,False,True,False,False,False,False,True
female,18,1,1,1,1,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,9,8,10,27,1,False,False,False,False,False,False,True,False,False,False,False,False
male,16,1,1,2,2,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,17,15,15,47,0,False,False,False,False,False,False,True,False,False,False,False,False
male,16,1,1,3,3,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,10,12,12,34,0,False,False,True,False,False,False,False,True,False,False,False,False
male,17,0,1,2,1,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0,7,6,0,13,0,False,False,False,False,False,False,True,False,False,False,False,False
male,15,1,1,3,2,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,5,9,7,21,0,False,False,True,False,False,False,True,False,False,False,False,False
male,16,0,1,1,2,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0,7,0,0,7,0,False,False,True,False,False,False,True,False,False,False,False,False
male,17,1,1,1,3,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,10,10,10,30,0,False,False,False,False,False,False,False,True,False,False,False,False
male,17,0,1,1,1,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,5,8,7,20,0,False,False,True,False,False,False,False,True,False,False,False,False
male,16,1,1,3,2,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16,12,11,12,35,0,False,False,False,True,False,False,False,True,False,False,False,False
male,16,1,1,2,2,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,10,10,10,30,0,False,False,True,False,False,False,True,False,False,False,False,False
female,16,1,1,4,2,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,14,15,16,45,0,False,True,False,False,False,False,False,True,False,True,False,False
female,16,1,1,2,2,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0,6,7,0,13,0,False,False,True,False,False,False,True,False,False,True,False,False
female,16,1,1,4,4,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,14,14,14,42,0,False,True,False,False,False,True,False,False,False,False,False,True
male,16,1,1,3,4,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0,6,5,0,11,0,False,False,True,False,False,False,True,False,False,False,False,False
male,16,1,1,1,0,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,13,15,16,44,0,False,False,True,False,False,False,True,False,False,False,False,True
male,17,0,1,4,4,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,13,11,10,34,0,False,False,False,False,True,False,True,False,False,False,False,True
female,16,1,1,1,3,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,8,7,0,15,0,False,False,False,False,False,False,False,True,False,True,False,False
female,16,0,1,3,3,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,10,11,9,30,0,False,False,True,False,False,False,True,False,False,False,False,True
male,17,0,1,4,3,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,10,9,9,28,0,False,False,False,False,True,False,True,False,False,False,False,False
female,16,1,1,2,2,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,13,13,11,37,0,False,False,False,True,False,False,True,False,False,False,False,True
male,17,1,1,3,3,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,6,5,6,17,0,False,False,True,False,False,False,True,False,False,False,False,True
male,16,1,1,4,2,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,10,8,9,27,0,False,False,False,False,True,False,False,True,False,False,True,False
male,17,1,1,4,3,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,10,10,11,31,0,False,False,True,False,False,False,True,False,False,False,False,False
male,16,1,1,4,3,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,9,8,8,25,0,False,False,False,False,True,False,True,False,False,True,False,False
male,16,1,1,3,3,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,3,2,12,13,12,37,0,False,False,False,True,False,False,True,False,False,True,False,False
female,17,1,1,2,4,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,16,17,17,50,0,False,False,False,True,False,False,False,True,False,False,False,True
female,17,0,1,3,3,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,9,9,8,26,0,False,False,True,False,False,False,True,False,False,False,False,True
female,16,1,1,3,2,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,12,13,12,37,0,False,False,True,False,False,False,True,False,False,False,False,True
male,17,1,1,3,3,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,12,12,11,35,0,False,False,False,True,False,False,False,True,False,False,True,False
male,16,1,1,1,2,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,11,12,11,34,0,False,False,False,True,False,False,False,True,False,False,True,False
male,16,0,1,2,1,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0,15,15,15,45,0,False,False,True,False,False,False,True,False,False,False,False,False
female,17,1,0,3,3,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,8,7,9,24,0,False,True,False,False,False,False,True,False,False,False,False,True
male,17,1,1,1,2,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,8,9,10,27,0,False,False,False,False,False,False,True,False,False,True,False,False
female,16,1,1,2,3,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,11,12,13,36,0,False,False,False,True,False,False,False,True,False,False,False,False
female,17,1,1,1,1,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,8,8,9,25,0,False,False,False,False,False,False,False,True,False,False,False,False
male,17,1,1,1,2,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,7,8,8,23,0,False,False,False,False,False,False,False,True,False,False,True,False
male,16,1,1,3,3,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,8,9,10,27,0,False,False,False,True,False,False,False,True,False,False,False,True
male,16,1,1,2,3,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,13,14,14,41,0,False,False,True,False,False,False,True,False,False,True,False,False
female,17,0,1,2,4,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0,14,15,15,44,0,False,False,False,True,False,False,False,True,False,False,False,False
male,17,1,1,4,4,1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4,17,15,16,48,0,False,False,False,True,False,False,False,False,True,True,False,False
male,16,0,1,3,3,3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,5,3,8,9,9,10,28,0,False,False,False,False,True,False,True,False,False,True,False,False
female,17,1,1,4,4,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,24,18,18,18,54,0,False,False,False,True,False,False,False,False,True,True,False,False
female,16,0,1,4,4,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,9,9,10,28,0,False,False,False,False,True,False,False,False,True,False,False,True
female,16,1,1,4,3,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2,16,16,16,48,0,False,True,False,False,False,False,True,False,False,True,False,False
female,16,1,1,2,3,1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6,8,10,10,28,0,False,False,True,False,False,False,True,False,False,False,False,True
female,17,1,1,1,1,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,9,9,10,28,0,False,False,True,False,False,False,True,False,False,False,False,False
female,17,1,1,2,2,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18,7,6,6,19,0,False,False,True,False,False,False,True,False,False,False,False,True
female,16,1,1,2,2,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6,10,10,11,31,0,False,False,False,True,False,False,False,True,False,False,False,True
female,17,1,1,3,4,1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,28,10,9,9,28,0,False,False,False,False,False,False,False,True,False,True,False,False
female,16,1,0,3,1,1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5,7,7,7,21,0,False,False,False,True,False,False,True,False,False,False,False,False
female,16,1,1,4,3,1,2,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,10,11,12,13,36,0,False,False,False,False,True,False,True,False,False,False,True,False
female,16,1,1,1,1,2,1,0,0,1,1,0,1,1,0,0,4,3,2,1,4,5,6,9,9,10,28,0,False,False,False,False,False,False,True,False,False,True,False,False
female,17,1,1,4,3,2,3,0,0,1,1,1,1,1,1,1,4,4,2,1,1,4,6,7,7,7,21,0,False,False,False,False,True,False,True,False,False,False,False,True
female,19,1,1,3,3,1,4,0,0,1,1,1,1,1,1,0,4,3,3,1,2,3,10,8,8,8,24,1,False,False,True,False,False,False,True,False,False,False,False,True
male,17,0,1,4,4,1,2,0,0,1,1,0,1,1,1,1,5,3,5,4,5,3,13,12,12,13,37,0,False,False,False,True,False,False,True,False,False,True,False,False
female,16,1,0,2,2,1,2,0,1,1,1,0,1,1,1,0,3,3,4,1,1,4,0,12,13,14,39,0,False,False,True,False,False,False,True,False,False,False,False,True
male,18,1,1,2,2,1,2,1,0,1,1,1,1,1,1,0,4,4,4,2,4,5,15,6,7,8,21,1,False,False,False,True,False,False,True,False,False,True,False,False
female,17,0,1,4,4,1,1,0,0,1,1,0,1,1,0,0,5,2,1,1,2,3,12,8,10,10,28,0,False,False,False,True,False,False,True,False,False,False,True,False
female,17,0,1,3,2,2,2,0,0,0,1,0,1,1,1,0,4,4,4,1,3,1,2,14,15,15,44,0,False,False,True,False,False,False,True,False,False,False,False,True
female,17,1,1,4,3,1,2,2,0,0,1,0,1,1,1,1,3,4,5,2,4,1,22,6,6,4,16,0,False,False,True,False,False,False,True,False,False,False,False,True
male,18,0,1,3,3,1,2,1,0,1,1,0,1,1,1,0,3,2,4,2,4,4,13,6,6,8,20,1,False,False,False,True,False,True,False,False,False,True,False,False
female,17,1,1,2,3,2,1,0,0,1,1,0,1,1,0,0,3,3,3,1,4,3,3,7,7,8,22,0,False,False,False,False,False,False,True,False,False,True,False,False
female,17,1,1,2,2,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4,9,10,10,29,0,False,False,False,False,False,False,False,False,False,False,False,False
female,17,1,1,2,1,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2,6,6,6,18,0,False,False,False,False,False,False,False,True,False,False,False,True
female,17,1,1,1,1,1,3,1,0,1,0,1,1,1,0,1,4,3,4,1,1,5,0,6,5,0,11,0,False,False,False,False,False,False,True,False,False,False,False,True
female,16,1,1,2,3,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2,16,16,17,49,0,False,False,False,True,False,False,False,False,True,False,True,False
male,18,1,1,2,2,2,2,0,0,1,1,0,1,1,1,0,3,3,3,5,5,4,0,12,13,13,38,1,False,False,True,False,False,False,True,False,False,True,False,False
female,16,1,1,4,4,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0,13,13,14,40,0,False,False,False,False,True,False,False,True,False,True,False,False
female,18,1,1,3,1,1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16,9,8,7,24,1,False,False,True,False,False,False,True,False,False,False,False,True
female,17,1,1,3,2,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10,16,15,15,46,0,False,False,True,False,False,False,True,False,False,False,False,False
male,17,0,1,2,3,1,2,0,0,1,1,0,0,1,1,0,5,3,3,1,3,3,2,12,11,12,35,0,False,False,False,True,False,False,False,True,False,False,False,True
male,18,0,1,2,1,4,2,0,1,1,1,1,1,1,1,1,4,3,2,4,5,3,14,10,8,9,27,1,False,False,False,False,False,False,True,False,False,False,False,False
female,17,1,0,2,1,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10,12,10,12,34,0,False,False,True,False,False,False,True,False,False,False,False,False
female,17,0,1,4,3,1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,14,13,13,14,40,0,False,True,False,False,False,False,True,False,False,False,False,True
male,17,1,1,2,2,2,2,0,0,1,1,1,1,1,1,0,4,5,2,1,1,1,4,11,11,11,33,0,False,False,True,False,False,False,True,False,False,False,False,False
male,17,1,1,4,4,1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,14,11,9,9,29,0,False,False,False,False,True,False,False,False,True,False,False,True
male,16,1,1,4,4,1,2,0,0,1,1,1,1,1,1,0,4,2,4,2,4,1,2,14,13,13,40,0,False,True,False,False,False,False,True,False,False,False,False,True
male,16,0,1,1,1,2,2,0,0,1,1,0,1,1,1,0,3,4,2,1,1,5,18,9,7,6,22,0,False,False,True,False,False,False,True,False,False,True,False,False
male,16,1,1,3,2,2,3,0,0,0,0,1,1,1,1,1,5,3,3,1,3,2,10,11,9,10,30,0,False,False,False,False,False,False,True,False,False,False,False,True
male,17,0,1,2,2,1,2,0,0,0,1,1,0,1,1,1,4,4,2,5,5,4,4,14,13,13,40,0,False,False,True,False,False,False,True,False,False,True,False,False
female,16,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,20,13,12,12,37,0,False,False,True,False,False,False,True,False,False,True,False,False
female,17,1,1,2,1,3,2,0,0,0,0,1,1,1,0,0,2,1,1,1,1,3,2,13,11,11,35,0,False,False,False,False,False,False,False,True,False,False,False,False
male,18,1,1,2,2,1,2,1,0,0,0,0,1,0,1,0,5,5,4,3,5,2,0,7,7,0,14,1,False,False,True,False,False,False,False,True,False,False,False,True
male,17,0,1,4,3,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,14,12,12,12,36,0,False,True,False,False,False,False,True,False,False,False,False,False
male,17,0,0,4,4,2,2,0,0,1,1,0,1,1,1,0,3,3,3,2,3,4,2,10,11,12,33,0,False,False,False,False,True,False,True,False,False,False,False,False
male,16,0,1,4,3,1,1,0,0,0,0,1,0,1,1,0,5,4,5,1,1,3,0,6,0,0,6,0,False,False,False,False,True,False,True,False,False,False,False,False
male,16,1,1,4,4,1,1,0,0,0,0,1,1,1,1,0,5,3,2,1,2,5,0,13,12,12,37,0,False,False,False,True,False,False,False,True,False,False,False,False
female,18,1,1,2,1,2,3,0,0,1,1,0,0,1,1,1,4,4,4,1,1,3,0,7,0,0,7,1,False,False,True,False,False,False,True,False,False,False,False,False
male,16,1,1,2,1,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,6,18,18,18,54,0,False,False,True,False,False,False,True,False,False,False,False,False
male,17,1,1,2,3,2,1,0,0,0,0,0,1,1,1,0,5,2,2,1,1,2,4,12,12,13,37,0,False,False,True,False,False,False,True,False,False,False,False,False
male,22,1,1,3,1,1,1,3,0,0,0,0,0,0,1,1,5,4,5,5,5,1,16,6,8,8,22,1,False,False,False,True,False,False,False,True,False,False,True,False
male,18,0,1,3,3,1,2,1,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8,3,5,5,13,1,False,False,True,False,False,False,False,True,False,False,False,False
male,16,1,1,0,2,1,1,0,0,0,1,0,0,1,1,0,4,3,2,2,4,5,0,13,15,15,43,0,False,False,True,False,False,False,True,False,False,False,True,False
male,18,1,1,3,2,2,1,1,0,0,0,0,1,0,1,0,4,4,5,2,4,5,0,6,8,8,22,1,False,False,False,True,False,False,True,False,False,False,False,False
male,16,1,1,3,3,3,2,0,1,1,0,0,0,1,1,0,5,3,3,1,3,2,6,7,10,10,27,0,False,False,False,False,False,False,True,False,False,False,False,True
male,18,1,1,2,1,1,1,1,0,0,0,0,0,0,1,0,3,2,5,2,5,5,4,6,9,8,23,1,False,False,False,True,False,False,False,True,False,False,True,False
male,16,1,1,2,1,2,1,0,0,0,0,1,0,1,0,0,3,3,2,1,3,3,0,8,9,8,25,0,False,False,True,False,False,False,True,False,False,False,False,False
male,17,1,1,2,1,1,1,0,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0,8,12,12,32,0,False,False,True,False,False,False,True,False,False,False,False,False
male,17,0,1,1,1,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,2,7,9,8,24,0,False,True,False,False,False,False,True,False,False,False,False,False
female,17,0,1,4,2,1,4,0,0,1,1,1,1,1,1,0,4,2,3,1,1,4,6,14,12,13,39,0,False,False,False,False,True,False,False,True,False,False,False,True
male,19,0,0,4,3,1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,12,11,11,11,33,1,False,False,False,True,False,False,False,False,False,False,False,True
male,18,1,1,2,1,1,2,0,0,0,0,1,1,1,1,0,5,2,4,1,2,4,8,15,14,14,43,1,False,False,True,False,False,False,True,False,False,True,False,False
female,17,0,1,2,2,1,4,0,0,0,1,1,1,1,1,1,3,4,1,1,1,2,0,10,9,0,19,0,False,False,False,True,False,False,False,True,False,False,False,False
female,18,1,1,4,3,1,2,0,0,1,1,0,1,1,1,1,3,1,2,1,3,2,21,17,18,18,53,1,False,False,False,True,False,False,True,False,False,True,False,False
male,18,1,1,4,3,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,3,2,8,8,8,24,1,False,False,False,False,True,False,True,False,False,False,False,False
